Country,Year,Number of reported cases of cholera,Number of reported deaths from cholera,Cholera case fatality rate,WHO Region,"I decided to check out some insights on cholera cases from 2012 to 2016, since most of the tragic and low cases happened between 1970 and 1991, and given that my entire data is between 1970 and 2016. I would like to find out the fatality rate, reported cases and reported deaths between the span of these years 2012 - 2016 as an added bonus to my project.       "
Nigeria,2012,597,18,3.02,Africa,
Nigeria,2013,6600,229,3.47,Africa,
Nigeria,2014,35996,755,2.1,Africa,
Nigeria,2015,5290,186,3.5,Africa,
Nigeria,2016,768,32,4.2,Africa,
,,,,,,
Highest reported cases,Highest fatality rate,Highest num of reported deaths,,,,
35996,4.2,755,,,,
year = 2014,year = 2016,year = 2014,,,,
Lowest reported cases,Lowest fatality rate,Lowest num of reported deaths,,,,
597,2.1,18,,,,
year =  2012,year =  2014,year =  2012,,,,
,,,,,,
,,Color,Meaning,,,
,,Light Green 1,Lowest fatality or cases,,,
,,Light Yellow 1,Highest fatality or cases,,,
